"address","city","state","zip","full_address","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side","state_fips","county_fips","census_tract","census_block"
"3198 market st","rushville","OH",43150,"3198 market st, rushville, OH, 43150",39.763955561784,-82.4317781681325,6572,"3198 market st, rushville, OH, 43150, , , ","Match","Exact","3198 MARKET ST, RUSHVILLE, OH, 43150","641772871","R","39","045","031100","2018"
"75 rivers edge","milford","OH",NA,"75 rivers edge, milford, OH, NA",39.1613983691585,-84.2759050135082,6573,"75 rivers edge, milford, OH, NA, , , ","Match","Non_Exact","75 RIVER'S EDGE DR, MILFORD, OH, 45150","118464893","R","39","025","041406","1002"
"32206 state route 643","fresno","OH",43824,"32206 state route 643, fresno, OH, 43824",40.4187957184565,-81.802898977993,6574,"32206 state route 643, fresno, OH, 43824, , , ","Match","Exact","32206 STATE RTE 643, FRESNO, OH, 43824","52103376","R","39","031","960900","3018"
"134 kellys ct","powell","OH",43065,"134 kellys ct, powell, OH, 43065",40.1569410724817,-83.0716060200749,6575,"134 kellys ct, powell, OH, 43065, , , ","Match","Exact","134 KELLYS CT, POWELL, OH, 43065","24593018","R","39","041","011421","2005"
"8063 second st","west chest","OH",45069,"8063 second st, west chest, OH, 45069",39.350848947068,-84.3894229063195,6576,"8063 second st, west chest, OH, 45069, , , ","Match","Non_Exact","8063 2ND ST, WEST CHESTER, OH, 45069","113810574","R","39","017","011125","2001"
"ste 520 key bank buildin","hamilton","OH",45011,"ste 520 key bank buildin, hamilton, OH, 45011",NA,NA,6577,"ste 520 key bank buildin, hamilton, OH, 45011, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"1062 n reynolds rd","toledo","OH",43615,"1062 n reynolds rd, toledo, OH, 43615",41.6499301546296,-83.66456054536,6578,"1062 n reynolds rd, toledo, OH, 43615, , , ","Match","Exact","1062 N REYNOLDS RD, TOLEDO, OH, 43615","33929902","R","39","095","007401","1008"
"po box 728","andover","OH",44003,"po box 728, andover, OH, 44003",NA,NA,6579,"po box 728, andover, OH, 44003, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"7788 county rd 558","holmesville","OH",44633,"7788 county rd 558, holmesville, OH, 44633",40.6270656482038,-81.9226035528355,6580,"7788 county rd 558, holmesville, OH, 44633, , , ","Match","Exact","7788 CO HWY 558, HOLMESVILLE, OH, 44633","58648807","R","39","075","976403","2002"
"404 e 12th st 2nd fl","cincinnati","OH",45202,"404 e 12th st 2nd fl, cincinnati, OH, 45202",39.1097616123757,-84.5081484388716,6581,"404 e 12th st 2nd fl, cincinnati, OH, 45202, , , ","Match","Exact","404 E 12TH ST, CINCINNATI, OH, 45202","103936353","L","39","061","001100","1026"
"8145 leavitt rd rt. 58","amherst","OH",NA,"8145 leavitt rd rt. 58, amherst, OH, NA",41.3740995132499,-82.2102155972771,6582,"8145 leavitt rd rt. 58, amherst, OH, NA, , , ","Match","Non_Exact","8145 LEAVITT RD, AMHERST, OH, 44001","55448992","L","39","093","057100","2015"
"1605 holland rd a-5","maumee","OH",NA,"1605 holland rd a-5, maumee, OH, NA",41.5865949206662,-83.6736752190798,6583,"1605 holland rd a-5, maumee, OH, NA, , , ","Match","Non_Exact","1605 HOLLAND RD, MAUMEE, OH, 43537","33930703","R","39","095","007104","2008"
"8430 ashley dr","broadview","OH",44147,"8430 ashley dr, broadview, OH, 44147",41.3366232720974,-81.6547784749731,6584,"8430 ashley dr, broadview, OH, 44147, , , ","Match","Non_Exact","8430 ASHLEY DR, BROADVIEW HTS, OH, 44147","61160109","R","39","035","136103","2005"
