tendigit_fips,year,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,fips_id,margin_against,failed_levy,close_3,close_5,close_7_5
3900568966,1997,Ruggles,Township,Ashland,Property,roads,A,5,1.9,107,85,55.72916793823242,44.27083206176758,3900568966,-5.729167938232422,0,0,0,1
3900568966,2001,Ruggles,Township,Ashland,Property,roads,R,5,3.1,143,285,33.411216735839844,66.58878326416016,3900568966,16.588783264160156,1,0,0,0
3900568966,2003,Ruggles,Township,Ashland,Property,roads,R,5,1.3,180,83,68.4410629272461,31.558937072753906,3900568966,-18.441062927246094,0,0,0,0
3900568966,2006,Ruggles,Township,Ashland,Property,roads,R,5,1.9,189,130,59.247650146484375,40.752349853515625,3900568966,-9.247650146484375,0,0,0,0
3900568966,2009,Ruggles,Township,Ashland,Property,roads,R,5,1.9,274,73,78.96253967285156,21.037460327148438,3900568966,-28.962539672851563,0,0,0,0
3900568966,2010,Ruggles,Township,Ashland,Property,roads,R,5,1.3,295,127,69.90521240234375,30.09478759765625,3900568966,-19.90521240234375,0,0,0,0
3900568966,2014,Ruggles,Township,Ashland,Property,roads,R,5,1.9,245,98,71.42857360839844,28.571426391601563,3900568966,-21.428573608398438,0,0,0,0
3900568966,2015,Ruggles,Township,Ashland,Property,roads,A,5,1,135,92,59.47136688232422,40.52863311767578,3900568966,-9.471366882324219,0,0,0,0
3900575357,1992,Sullivan,Township,Ashland,Property,roads,A,cpt,1.5,464,51,90.09708404541016,9.902915954589844,3900575357,-40.097084045410156,0,0,0,0
3900575357,1997,Sullivan,Township,Ashland,Property,roads,A,5,1,299,114,72.3970947265625,27.6029052734375,3900575357,-22.3970947265625,0,0,0,0
3900577532,1991,Vermillion,Township,Ashland,Property,roads,R,5,.8,857,95,90.02101135253906,9.9789886474609375,3900577532,-40.02101135253906,0,0,0,0
3900577532,1995,Troy,Township,Ashland,Property,roads,A,5,1.8,141,74,65.5813980102539,34.418601989746094,3900577532,-15.581398010253906,0,0,0,0
3900577532,2001,Troy,Township,Ashland,Property,roads,R,5,1.8,188,285,39.746299743652344,60.253700256347656,3900577532,10.253700256347656,1,0,0,0
3900577532,2002,Troy,Township,Ashland,Property,roads,R,5,1.8,97,120,44.700462341308594,55.299537658691406,3900577532,5.299537658691406,1,0,0,1
3900577532,2006,Troy,Township,Ashland,Property,roads,A,5,3,199,122,61.993770599365234,38.006229400634766,3900577532,-11.993770599365234,0,0,0,0
3900577532,2010,Troy,Township,Ashland,Property,roads,R,5,1.8,283,574,33.02217102050781,66.97782897949219,3900577532,16.977828979492188,1,0,0,0
3900577532,2012,Troy,Township,Ashland,Property,roads,R,5,1.8,250,172,59.24170684814453,40.75829315185547,3900577532,-9.241706848144531,0,0,0,0
3900577532,2017,Troy,Township,Ashland,Property,roads,R,5,1.8,262,42,86.18421173095703,13.815788269042969,3900577532,-36.18421173095703,0,0,0,0
3900577532,2020,Troy,Township,Ashland,property,roads,R,5,1.8,425,170,71.42857360839844,28.571426391601563,3900577532,-21.428573608398438,0,0,0,0
