"tendigit_fips","year","tax_type","purpose2","description","millage_percent","duration","votes_pct_for","fail_flg"
3900762568,1994,"Property","roads","A",2,-999,58.0838323353293,0
3900762568,1997,"Property","roads","R",3,5,78.4848484848485,0
3900762568,1998,"Property","roads","R",2,5,71.523178807947,0
3900762568,2001,"Property","roads","R",3,5,75.1655629139073,0
3900762568,2003,"Property","roads","R",2,5,83.4928229665072,0
3900762568,2005,"Property","roads","R",3,5,67.3333333333333,0
3900762568,2006,"Property","roads","R",2,5,70.8860759493671,0
3900762568,2010,"Property","roads","R",3,5,81.40589569161,0
3900762568,2011,"Property","roads","R",2,5,81.6377171215881,0
3900762568,2015,"Property","roads","R",3,5,76.530612244898,0
3900762568,2016,"Property","roads","R",2,5,72.8323699421965,0
3900763772,1996,"Property","roads","A",2,-999,57.6757532281205,0
3900763772,1998,"Property","roads","A",1,5,64.84375,0
3900763772,1999,"Property","roads","A",1.5,5,70.216306156406,0
3900763772,2004,"Property","roads","R",1.5,5,53.0183727034121,0
3900763772,2009,"Property","roads","R",1.5,5,74.2283950617284,0
3900763772,2013,"Property","roads","R",3,5,75.8713136729222,0
3900763772,2018,"Property","roads","R",1.5,5,55.9945504087193,0
3900767846,1997,"Property","roads","R",2,5,55.8139534883721,0
3900767846,2001,"Property","roads","R",2,5,35.2313167259786,1
3900767846,2007,"Property","roads","R",2,5,59.5454545454545,0
3900767846,2012,"Property","roads","R",2,5,53.7142857142857,0
3900767846,2014,"Property","roads","A",1.5,5,18.5082872928177,1
3900767846,2017,"Property","roads","R",2,5,84.7619047619048,0
3900768224,1993,"Property","roads","A",1,-999,17.9268292682927,1
3900768224,1997,"Property","roads","R",1,-999,76.9503546099291,0
3900768224,2001,"Property","roads","A",1,5,82.0754716981132,0
3900768224,2002,"Property","roads","R",1,5,31.8627450980392,1
3900768224,2007,"Property","roads","R",2,5,76.4705882352941,0
3900768224,2012,"Property","roads","R",2,5,52.2911051212938,0
3900768224,2017,"Property","roads","R",2,5,73.8993710691824,0
3900770646,1999,"Property","roads","R",1,5,70.2405498281787,0
3900770646,2004,"Property","roads","R",2,5,49.0623416117587,1
3900770646,2008,"Property","roads","R",2.75,5,31.069330199765,1
3900770646,2011,"Property","roads","R",2.75,5,42.4006908462867,1
3900770646,2017,"Property","roads","R",2.75,5,66.1792452830189,0
3900772053,1991,"Property","roads","R",2.5,5,48.3290488431877,1
3900772053,1996,"Property","roads","A",1.5,5,50.1628664495114,0
3900772053,2001,"Property","roads","R",1.5,5,78.7465940054496,0
3900772053,2006,"Property","roads","R",1.5,5,57.3308270676692,0
3900772053,2011,"Property","roads","A",2,5,55.8823529411765,0
3900772053,2016,"Property","roads","R",1.5,5,71.7557251908397,0
3900777686,1994,"Property","roads","A",3,5,5.91677503250975,1
3900777686,1995,"Property","roads","R",3,5,6.52173913043478,1
3900777686,1996,"Property","roads","R",3,5,10.180412371134,1
3900777686,1999,"Property","roads","R",3,1000,38.7387387387387,1
3900777686,2000,"Property","roads","A",5,5,31.8181818181818,1
3900777686,2001,"Property","roads","A",3,5,75.5882352941177,0
3900777686,2003,"Property","roads","A",3,5,46.3709677419355,1
3900777686,2004,"Property","roads","R",3,5,5.44698544698545,1
3900777686,2006,"Property","roads","R",3,5,52.6132404181185,0
3900777686,2008,"Property","roads","A",1,5,35.59670781893,1
3900777686,2009,"Property","roads","R",3,5,32.5320512820513,1
3900777686,2011,"Property","roads","R",3,5,55.9431524547804,0
3900777686,2013,"Property","roads","R",3,5,63.5607321131448,0
3900777686,2014,"Property","roads","R",3,5,1.03035054317393,1
3900777686,2018,"Property","roads","A",2,5,16.25,1
3900782040,1992,"Property","roads","R",4,5,28.1007751937984,1
3900782040,1997,"Property","roads","R",5,5,68.0952380952381,0
3900782040,2001,"Property","roads","R",5,5,70.391061452514,0
3900782040,2006,"Property","roads","R",5,5,60.1156069364162,0
3900782040,2011,"Property","roads","R",4,5,54.5454545454545,0
3900782040,2016,"Property","roads","R",4,5,59.1715976331361,0
3900785372,1994,"Property","roads","R",2,5,48.6301369863014,1
3900785372,1998,"Property","roads","R",2,5,65.3846153846154,0
3900785372,2001,"Property","roads","A",2,5,59.327731092437,0
3900785372,2006,"Property","roads","R",2.36,5,65.7801418439716,0
3900785372,2007,"Property","roads","R",2,5,68.9873417721519,0
3900785372,2011,"Property","roads","R",2,5,59.1966173361522,0
3900785372,2015,"Property","roads","R",2.36,5,67.012987012987,0
3900785372,2018,"Property","roads","R",2,5,63.5491606714628,0
3900785988,1995,"Property","roads","A",1,5,53.0434782608696,0
3900785988,1999,"Property","roads","R",1,5,78.544061302682,0
3900785988,2000,"Property","roads","R",2,5,48.2758620689655,1
3900785988,2004,"Property","roads","R",2.5,5,68.3778234086242,0
3900785988,2005,"Property","roads","R",2.5,5,50.1557632398754,0
3900785988,2009,"Property","roads","R",2.5,5,58.5820895522388,0
3900785988,2015,"Property","roads","R",2.5,5,53.4965034965035,0
3900785988,2016,"Property","roads","A",1,5,53.6312849162011,0
3900785988,2018,"Property","roads","A",1,5,56.3049853372434,0
3900901042,1993,"Property","roads","A",2,3,62.6168224299065,0
3900901042,2001,"Property","roads","R",3,5,68.75,0
3900901042,2006,"Property","roads","R",3,5,62.3188405797101,0
3900901042,2011,"Property","roads","R",3,5,63.5451505016722,0
3900901042,2016,"Property","roads","R",3,5,65.0375939849624,0
